Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
ru,bamut,43.159855,45.197340000000004,32.77,100,92,3.15
dk,arhus,56.153423,10.225530000000001,33.8,80,0,1.12
mg,toliary,-23.35,43.6666667,78.49,83,0,6.4
hu,romhany,47.919296,19.263627,51.8,100,0,9.17
no,sundvollen,60.066667,10.333333,21.7,84,8,1.92
ph,tunggol,7.080833,124.753056,76.24,81,36,2.04
ph,quezon,14.0057,122.1838,75.79,87,68,7.74
nl,doorn,52.036875,5.343049,50.59,53,90,9.17
be,rijkevorsel,51.35,4.766667,45.95,81,90,10.29
hu,gyomaendrod,46.933333000000005,20.833333,57.43,87,0,6.93
in,madhyamgram,22.7,88.45,82.4,83,20,8.05
us,seabrook,42.894722200000004,-70.8716667,54.84,100,90,5.82
mx,quiroga,19.666667,-101.533333,74.32,28,40,9.17
gb,portadown,54.433333,-6.45,41,80,20,10.29
az,ucar,40.518333,47.654167,49.87,99,92,10.2
mx,irimbo,19.7,-100.479167,75.2,29,20,6.93
sv,ciudad arce,13.840277800000003,-89.44722220000001,91.4,46,40,5.82
ca,notre-dame-du-lac,47.6,-68.8,41,80,90,10.29
ph,lampitak,6.432222,125.0525,71.74,76,12,1.92
ph,pio duran,13.029283,123.444956,72.37,100,68,3.38
pg,arawa,-6.2166667,155.55,76.42,100,20,4.16
id,purwokerto,-7.421389,109.234444,70.12,95,8,2.15
tw,juifang,25.109722199999997,121.80416670000001,68,77,20,13.87
ru,severo-kurilsk,50.678889,156.125,27.19,100,80,10.76
br,imbituva,-25.2,-50.583333,74.17,89,80,2.82
ru,verkhnyaya salda,58.048742000000004,60.559493,20.71,67,56,9.42
ru,poshekhonye,58.499279,39.135306,19.36,76,0,10.2
co,paicol,2.449623,-75.775003,74.08,78,48,2.93
us,elk river,45.3038889,-93.5669444,34.52,64,90,7.29
gb,barnstaple,51.083333,-4.05,39.9,93,92,10.29
in,hindaun,26.716666999999998,77.016667,73.09,19,0,7.4
ve,goaigoaza,10.4491667,-68.0605556,89.6,52,40,6.93
br,ponte nova,-20.4,-42.9,75.34,98,56,4.38
ua,moshny,49.524209,31.743376,39.97,93,92,11.32
jp,shiraoi,42.55,141.35,26.6,79,20,3.36
ro,filipestii de targ,44.983333,25.783333,56.35,66,0,3.36
de,northeim,51.7,10.0,48.2,66,0,6.93
in,tigri,28.816667,78.15,70.39,62,0,9.75
hn,san juan de opoa,14.7833333,-88.7,81.46,62,12,2.59
zw,karoi,-16.8166667,29.683333299999997,67.69,93,24,4.38
ch,eschenbach,47.239806,8.921562,45.09,87,92,13.87
br,sao bento do sul,-26.249722,-49.3825,78.8,83,40,10.29
cn,nanjing,32.061667,118.777778,57.2,93,12,6.71
ca,kincardine,44.166667,-81.633333,31.96,100,64,13
pl,pszczyna,49.976483,18.947323,49.51,88,90,8.05
mx,nicolas bravo,18.45,-88.916667,86,66,75,11.41
pl,szprotawa,51.565553,15.536082,42.8,70,0,9.17
lt,vilkaviskis,54.6516667,23.0322222,34.12,90,24,9.42
hn,puerto lempira,15.266666699999998,-83.7666667,87.22,60,76,5.95
in,jharsuguda,21.85,84.033333,78.67,53,0,9.19
gr,farsala,39.2947222,22.3847222,55.4,82,0,4.7
br,linhares,-19.416667,-40.066666999999995,82.9,63,68,9.64
ng,ila,8.016667,4.9,83.89,55,8,4.16
mx,teitipac,16.916667,-96.6,78.8,34,40,4.7
ca,goderich,43.733333,-81.7,34.66,73,76,14.23
br,aracuai,-16.866667,-42.066666999999995,84.34,58,0,6.62
ua,lazurne,46.084001,32.529554,42.04,89,0,8.75
ro,cioroiasiu,44.083333,23.45,55.4,58,12,6.93
ro,ticvaniu mare,45.135278,21.638056,64.4,42,0,24.16
mn,darhan,46.6166667,109.41666670000001,36.01,75,8,7.52
us,belchertown,42.2769444,-72.40138890000001,53.65,76,90,10.29
ru,krechevitsy,58.617028000000005,31.40101,24.22,77,20,5.39
co,tenerife,9.900932000000001,-74.859852,90.55,76,12,3.94
us,fredericksburg,30.275,-98.8716667,70.54,37,1,9.17
hn,choluteca,13.300277800000002,-87.1908333,92.89,36,0,3.6
be,de haan,51.266667,3.0333330000000003,42.8,87,20,8.05
ca,chapais,49.783333,-74.866667,24.8,45,1,14.99
us,moultrie,31.1797222,-83.7891667,65.17,88,40,9.86
ph,cabano,10.5869,122.7002,71.47,96,32,3.38
us,collingswood,39.9180556,-75.07166670000001,57.09,87,90,13.87
nl,oisterwijk,51.583449,5.208564,47.98,71,90,11.41
br,sao sebastiao do paraiso,-20.916667,-47.0,81.1,61,88,4.5
be,hooglede,50.983333,3.083333,44.15,87,20,8.05
zm,senanga,-16.1166667,23.2666667,70.57,87,64,2.48
us,colonial park,40.3005556,-76.81,49.1,66,90,13.87
br,taguatinga,-12.465556,-46.366944000000004,85.15,59,32,7.4
am,getazat,40.03805560000001,44.563888899999995,48.2,61,20,4.7
ro,gradistea,45.266667,27.383333,52.75,79,0,5.61
ru,krasnolesnyy,51.880716,39.587716,30.2,86,90,8.95
tr,tunceli,39.108288,39.547112,50.77,47,75,12.75
ru,yaransk,57.303313,47.886113,26.29,81,64,12.88
gb,harlow,51.783333,0.166667,43.39,93,90,10.29
be,ouffet,50.433333000000005,5.466667,43.54,87,75,11.41
mx,ameca,20.55,-104.033333,80.47,28,0,3.15
ph,bato,8.6027,123.6449,71.92,99,68,1.36
ph,salvacion,15.8396,120.9159,69.22,99,88,0.69
hr,vinkovci,45.2883333,18.804722199999997,55.4,71,0,8.05
us,winona,44.05,-91.6391667,42.93,56,75,11.41
us,smyrna,33.883888899999995,-84.5144444,61.86,67,90,12.75
cz,ostrov,50.307349,12.94792,44.6,74,0,8.05
jp,hayato,31.716666999999998,130.73333300000002,42.13,95,0,2.15
in,moga,30.8,75.166667,69.49,50,0,5.39
tw,peikang,23.5733333,120.30138889999999,73.18,100,0,3.49
no,amot,59.583332999999996,8.0,17.74,70,20,2.15
bg,sadovo,42.1333333,24.9333333,51.8,87,0,4.38
tj,gafurov,40.2177778,69.725,64.4,52,12,13.42
hu,erd,47.394886,18.913605,51.8,100,0,9.17
de,morbach,49.816666999999995,7.116667,41.59,93,40,8.05
gb,tobermory,56.63333299999999,-6.0833330000000005,42.8,75,92,10.29
us,sierra madre,34.161666700000005,-118.05194440000001,70.86,77,75,14.99
jo,sirfa,31.329643,35.654394,51.8,81,40,6.93
ro,hidiselu de sus,46.95,22.05,54.3,66,48,5.82
ua,kyrylivka,46.375917,35.367528,37.9,98,8,8.19
ru,zandak,43.057105,46.455656,35.83,100,92,3.71
np,kathmandu,27.7166667,85.3166667,60.8,51,75,10.29
us,santa cruz,36.974166700000005,-122.02972220000001,70.3,56,1,3.04
nl,rijswijk,52.025498,4.310793,47.8,71,90,21.92
ph,manaring,17.172937,121.90254399999999,67.96,97,48,4.16
us,capitola,36.9752778,-121.95222220000001,70.3,56,1,3.04
us,candia,43.0777778,-71.27722220000001,54.73,81,90,11.41
ph,magbay,12.410144,121.089913,70.48,98,88,2.37
in,santoshpur,22.525278,88.265,82.4,83,20,8.05
it,cornedo vicentino,45.616667,11.333333,49.51,67,75,13.87
br,igreja nova,-10.116667,-36.65,80.83,82,100,8.63
br,loanda,-22.9,-53.166667000000004,77.14,91,88,6.62
ao,kuito,-12.383333,16.933332999999998,64.99,87,24,3.15
ru,zarubino,58.735,33.475556,18.37,75,0,7.4
pl,pyrzyce,53.145647,14.892897,33.8,74,0,6.93
in,pandoh,31.683333,77.05,49.15,38,0,5.28
in,nambutalai,9.716667,79.0,84.61,100,20,15.68
ch,ruswil,47.084253000000004,8.126446000000001,41.86,75,75,6.93
de,hohen neuendorf,52.666667000000004,13.283332999999999,43.65,56,0,9.17
in,jhabua,22.766667,74.6,73.27,37,0,4.94
in,dharmabad,18.9,77.85,72.37,34,8,7.52
hn,los tangos,15.15,-88.6833333,86,79,20,4.7
at,eisenstadt,47.85,16.516667,50.13,81,0,26.4
nl,valkenburg,50.864835,5.827774,45.55,87,90,8.05
mx,tecoman,18.913889,-103.905556,87.8,25,5,11.41
de,hauzenberg,48.65,13.633332999999999,53.6,62,20,11.41
br,matinha,-3.1,-45.033333,81.64,91,100,4.16
de,schluchtern,50.35,9.516667,46.36,69,80,9.64
ru,durgeli,42.666999,47.294349,37.4,93,90,8.95
cu,candelaria,22.7405556,-82.9611111,84.2,51,40,5.82
pe,tinyahuarco,-10.75,-76.3,59.05,64,12,3.38
it,ovada,44.633333,8.633333,57.2,93,75,23.04
ua,synevyr,48.487448,23.62575,41.5,96,88,2.59
ve,cagua,10.183333300000001,-67.45,88.3,49,40,8.05
us,owings mills,39.419444399999996,-76.7805556,58.01,81,90,13.87
gq,anisoc,1.85,10.766666699999998,77.77,91,56,3.04
de,engen,47.85,8.766667,43.61,87,92,13.87
us,union city,37.595833299999995,-122.01805559999998,67.62,59,1,6.93
ml,kidal,18.4411111,1.4077778,89.02,15,0,3.38
it,fiesole,43.8,11.283333,42.44,55,75,11.41
br,humberto de campos,-2.6166669999999996,-43.45,81.1,100,80,5.73
vn,da lat,11.933333,108.41666699999999,61.66,92,48,2.26
us,chubbuck,42.9208333,-112.4652778,57.2,33,40,24.16
in,shantipur,23.25,88.466667,82.4,83,20,8.05
to,neiafu,-18.65,-173.9833333,75.2,94,75,3.04
ro,pomezeu,46.783333,22.283333,55.4,66,48,5.82
in,bakreswar,23.883333,87.366667,73.36,69,0,9.64
ua,vesele,47.014790999999995,34.915036,38.08,78,36,8.97
ch,affoltern,47.281224,8.45346,43.74,81,75,12.75
in,kanker,20.271944,81.49305600000001,74.53,38,0,5.39
gt,chiantla,15.354722,-91.458333,64.27,95,76,2.15
pl,kety,49.87982,19.218778,49.15,76,75,5.82
ro,radaseni,47.466667,26.25,48.2,81,0,3.36
fr,meudon,48.813807000000004,2.235,44.08,91,0,5.82
it,sondrio,46.166667,9.866667,46.24,100,90,2.24
ro,blajeni,46.233333,22.9,47.44,84,56,2.26
pl,oswiecim,50.036838,19.230829,48.2,76,75,2.24
fr,creil,49.256721999999996,2.484771,44.35,81,20,3.36
in,jha jha,24.766667,86.366667,72.91,62,12,14
lt,dusetos,55.75,25.85,37.09,96,88,10.09
de,dinklage,52.65,8.116667,49.55,70,0,13.87
dk,esbjerg,55.470276,8.451869,33.82,80,32,12.75
ru,vershino-shakhtaminskiy,51.3012,117.8868,30.25,60,76,4.83
ph,titay,7.8125,122.534444,73.72,88,0,5.39
de,landsberg,48.05,10.866667,48.18,66,0,2.24
lu,elvange,49.5052778,6.316388900000001,41.92,100,75,5.82
pl,mosina,52.244194,16.851333,39.2,69,0,10.29
co,la pintada,5.748673,-75.606261,72.52,68,75,6.93
fr,joue-les-tours,47.352234,0.6690550000000001,48.2,57,88,5.82
ru,podolsk,55.424184999999994,37.554717,27.52,46,90,11.18
ua,bushtyno,48.05121,23.485785999999997,51.8,87,24,5.82
fi,mustasaari,63.11666700000001,21.716667,24.8,92,0,3.36
ph,salvacion,12.6151,125.039,79.3,100,88,13.78
br,presidente olegario,-18.416667,-46.416667,82.09,65,8,4.61
br,manoel urbano,-8.883333,-69.3,82.18,83,76,2.93
pe,tocache,-8.1841667,-76.5125,71.29,71,12,2.82
es,cambre,43.294376,-8.34736,42.64,87,75,18.34
pt,alhandra,38.92732,-9.00864,53.6,76,20,11.41
ru,danilovka,50.355732,44.116807,15.76,69,0,7.85
cf,bangui,4.366666700000001,18.5833333,75.2,88,75,4.7
de,filderstadt,48.666667,9.216667,46.4,87,75,11.41
ph,poctol,13.816667,121.433333,72.64,100,88,3.38
us,coldwater,41.9402778,-85.0005556,41.22,41,1,4.7
ph,batitang,15.4045,120.8079,73.4,94,90,4.7
ru,botlikh,42.644419,46.229669,27.1,96,92,1.7
in,murbad,19.25,73.4,82.4,74,40,8.05
ro,lucieni,44.85,25.433332999999998,56.32,66,0,3.36
rs,badovinci,44.785833000000004,19.371389,60.8,48,20,2.24
br,missao velha,-7.25,-39.133333,78.94,87,80,4.38
ph,tagcatong,9.002222,125.25694399999999,77.86,98,92,9.42
jp,okuchi,32.066666999999995,130.616667,42.13,95,0,2.15
br,sao joao dos patos,-6.5,-43.7,75.34,97,76,3.38
us,saint albans,38.3855556,-81.8363889,44.1,80,90,5.82
gb,chester,53.2,-2.916667,45,87,75,14.99
ph,san roque,10.6043,123.7441,77,88,75,5.82
gr,marathokambos,37.726388899999996,26.69,57.2,76,0,3.36
pf,faaone,-17.6666667,-149.3,84.2,74,20,4.7
es,andoain,43.220711,-2.020336,52.12,33,0,8.05
no,skjold,59.516667000000005,5.5833330000000005,36.75,55,0,10.29
de,juchen,51.1,6.5,50.34,54,75,11.41
gb,seafield,55.966667,-3.15,38.57,93,90,11.41
uz,urtaaul,41.1866667,69.14527779999999,66.2,39,0,6.93
br,santa quiteria do maranhao,-3.516667,-42.533333,82.18,88,92,3.71
jp,hekinan,34.883333,136.98333300000002,44.6,70,40,6.93
uz,ohangaron,40.906388899999996,69.6383333,66.2,39,0,6.93
ws,sapapalii,-13.683333300000001,-172.1166667,84.52,100,76,10.54
bw,tsienyane,-21.0166667,24.3333333,75.79,73,88,4.16
it,san marzano sul sarno,40.766667,14.583332999999998,61.05,59,20,4.7
ro,darmanesti,46.366667,26.483333000000002,53.6,76,0,11.41
ru,troitskiy,57.060277,63.748113000000004,15.31,80,0,9.42
gr,prinos,40.7333333,24.6166667,51.8,93,20,4.7
dk,lillerod,55.868749,12.345809,34.41,80,75,10.29
ru,pargolovo,60.05,30.316667,28.4,46,0,4.47
id,paciran,-6.866667,112.33333300000001,80.74,100,48,8.86
br,santo antonio do ica,-3.083333,-67.95,78.4,95,92,3.6
gb,coalville,52.716667,-1.366667,42.03,100,75,16.11
ru,piterka,50.680296999999996,47.445395,12.97,67,0,3.38
gr,adendron,40.6716667,22.6044444,55.4,76,0,4.7
ua,bohuslav,49.549391,30.874396,37.63,91,92,8.86
ru,izhma,65.00833100000001,53.911278,15.76,78,76,6.96
mx,bustamante,26.533333000000002,-100.5,79.21,22,0,6.4
be,lochristi,51.1,3.833333,43.88,87,90,5.82
mx,costa rica,24.5875,-107.3875,82.4,32,5,6.93
pa,san miguel,8.457222199999999,-78.9369444,80.29,88,12,8.86
ru,armizonskoye,55.946111,67.673611,11.8,75,0,10.42
ru,yerofey pavlovich,53.966667,121.96666699999999,20.26,61,12,2.59
ph,lumil,14.181683,121.013646,75.2,100,90,6.93
ph,claveria,8.61,124.894722,69.76,96,92,2.15
it,pulsano,40.383333,17.35,59,87,90,10.29
ro,domnesti,45.2,24.833333,46.63,85,0,2.71
it,partinico,38.05,13.116667000000001,64.96,37,0,19.46
ru,yugo-kamskiy,57.703977,55.594265,21.2,62,40,13.42
ph,maricaban,11.1516,123.7679,78.94,100,56,11.77
br,guiratinga,-16.35,-53.75,88.57,65,32,1.48
gr,kavos,39.383888899999995,20.1133333,60.8,67,0,6.93
ci,tabou,4.42295,-7.3528,83.62,100,12,10.2
in,rampur,28.816667,79.033333,66.79,71,0,5.17
cr,san antonio,9.983333,-84.18333299999999,79.7,45,20,17.22
cn,huaibei,33.974444,116.79166699999999,53.02,88,0,8.41
ru,zaprudnya,56.566667,37.433333000000005,28.4,50,0,13.42
ml,koutiala,12.383333300000002,-5.4666667,97.66,28,20,6.96
gr,palaiomonastiron,39.4625,21.6586111,49.15,59,0,1.25
co,carcasi,6.627114,-72.626249,59.14,87,56,1.36
ph,quinapondan,11.158333,125.52194399999999,75.52,98,76,8.19
ro,motca,47.25,26.616667,48.2,81,0,3.36
ph,santa ana,15.0955,120.76700000000001,74.03,94,90,4.7
us,spencer,43.141388899999995,-95.1441667,43.27,65,75,11.41
ph,balagunan,7.492222,125.521111,77,83,75,3.36
de,stadthagen,52.316666999999995,9.2,48.67,65,0,16.11
